3.8
10

101,94,334,1
344,148,709,0
101,94,1271,1
344,148,1459,0
160,222,1646,0
246,45,2021,1
168,278,5959,0
393,181,6146,0
366,337,6334,1
210,145,6521,0
246,347,6709,0
445,211,6896,0
314,166,7084,1
481,302,7271,0
484,136,7459,0
304,338,7646,1
376,133,7833,0
304,298,8021,0
252,80,8208,0
166,198,8396,1
326,109,8584,0
246,276,8771,0
188,69,8959,0
323,212,9146,1
323,212,9239,0
323,212,9333,0
421,126,9521,0
311,117,9709,0
266,259,9896,0
252,72,10084,1
397,229,10271,0
172,282,10459,0
372,109,10646,1
466,233,10834,0
271,273,11021,0
319,55,11209,1
422,173,11396,0
237,303,11584,1
282,165,11771,0
307,340,11959,0
113,278,12146,0
374,263,12334,1
173,139,12521,0
216,338,12709,1
357,127,12896,0
122,238,13084,1
363,310,13271,0
268,91,13459,0
165,332,13646,1
165,332,13740,0
165,332,13833,0
398,221,14021,0
107,172,14209,1
413,85,14396,0
289,348,14584,1
218,61,14771,0
404,306,14959,1
141,110,15146,0
211,306,15334,1
205,157,15521,0
341,206,15709,0
186,344,15896,1
171,113,16084,0
398,202,16271,0
112,334,16459,1
42,75,16646,0
172,362,16834,0
338,314,17584,1
441,262,17771,0
271,290,17959,0
461,200,18146,0
302,152,18334,1
160,338,18521,0
370,369,18709,0
228,187,18896,0
269,337,19084,1
302,171,19271,0
316,376,19459,0
472,232,19646,0
481,354,19834,1
325,182,20021,0
231,308,20209,0
412,286,20396,0
290,57,20584,1
138,284,20771,0
393,182,20959,0
107,309,21146,0
338,336,21334,1
87,226,21521,0
312,119,21709,0
143,286,21896,0
297,270,22084,1
190,175,22271,0
381,116,22459,0
430,323,22646,1
316,183,22834,0
305,319,23021,0
179,153,23209,0
326,105,23396,1
342,250,23584,0
198,209,23771,0
319,35,23959,0
412,98,24146,0
397,287,24334,1
306,125,24521,0
298,323,24709,0
475,177,24896,0
331,243,25084,1
494,376,25271,0
391,175,25459,0
267,283,25646,0
398,262,25834,1
347,105,26021,0
330,303,26209,0
482,160,26396,0
282,99,26584,1
244,326,26771,0
156,102,26959,0
250,364,27146,0
377,297,27334,1
481,288,27521,0
307,278,27709,0
466,356,27896,0
397,141,28084,1
397,279,28271,0
320,136,28459,0
404,318,28646,0
461,101,28834,0
200,172,29584,1
300,239,29771,0
200,299,29959,0
129,178,30146,0
79,355,30334,1
3,142,30521,0
206,221,30709,0
8,336,30896,0
67,107,31084,1
229,155,31271,0
129,334,31459,0
92,199,31646,0
227,328,31834,1
64,343,32021,0
269,328,32209,0
71,251,32396,0
285,142,32584,1
384,206,32771,0
248,260,32959,0
227,122,33146,0
350,286,33334,1
158,169,33521,0
308,350,33709,0
291,100,33896,0
163,325,34084,0
385,175,34646,1
385,175,34740,0
385,175,34834,0
281,76,35021,0
264,272,35209,1
166,93,35396,0
110,291,35584,0
239,134,35771,0
219,335,35959,1
96,115,36146,0
287,270,36334,0
17,283,36521,0
188,82,36709,1
360,254,36896,0
105,229,37084,0
344,98,37271,0
297,350,37459,1
188,82,37646,0
188,82,37740,0
188,82,37834,0
382,188,38021,1
133,237,38209,0
266,15,38396,0
330,262,38584,0
78,175,38771,1
363,279,38959,0
187,25,39146,0
135,260,39334,0
317,152,39521,1
68,49,39709,0
97,313,39896,0
386,174,40084,0
111,177,40271,1
225,313,40459,0
281,100,40646,0
281,100,40740,0
281,100,40834,0
117,280,41021,1
224,49,41209,0
301,315,41396,0
131,58,41584,0
56,362,41771,1
0,40,41959,0
336,118,42146,0
0,263,42334,0
234,304,43084,1
222,298,43271,0
360,266,43459,0
369,255,43646,0
255,118,43834,0
