2.8
7

163,70,334
361,299,1459
361,299,1646
364,145,2209
442,67,2584
212,18,3334
216,159,3709
184,288,4084
354,279,4646
402,162,5021
242,59,5584
23,216,6334
174,313,13084
300,342,13459
419,303,13834
362,151,14959
233,248,15334
100,268,15709
133,80,16271
133,80,16459
263,47,16834
462,187,18334
332,262,18709
190,296,19084
207,86,19646
75,41,20021
16,185,20396
16,185,20584
299,301,21334
393,194,21709
419,48,22084
231,42,22646
82,140,23021
65,296,23396
188,179,23959
301,42,24334
384,111,24709
409,208,25084
383,357,25646
279,289,26021
292,137,26396
292,137,26584
48,227,27334
117,321,27709
304,220,28271
304,220,28459
224,89,28834
41,317,30334
175,201,30709
290,336,31084
486,353,31646
486,353,31834
462,204,32209
466,50,32584
194,49,33334
95,108,33709
148,252,34084
450,65,34834
398,235,35209
278,103,35584
249,186,36146
126,92,36521
66,302,37084
205,359,37459
370,258,37834
316,72,38209
125,104,38584
193,171,39146
115,319,39521
313,271,40084
286,108,40459
96,148,40834
74,40,41209
310,41,41771
310,41,41959
467,19,42334
467,19,43084
445,160,43459
425,302,43834
